ID_REF,GSM2407549,GSM2407550,GSM2407551,GSM2407552,GSM2407553,GSM2407554,GSM2407555,GSM2407556,GSM2407557,GSM2407558,GSM2407559,GSM2407560,GSM2407561,GSM2407562,GSM2407563,GSM2407564,GSM2407565,GSM2407566,GSM2407567,GSM2407568,GSM2407569,GSM2407570,GSM2407571,GSM2407572,GSM2407573
20536303,0.70844,1.58891,1.69779,1.32667,1.35622,1.23129,1.20595,1.26189,1.4638,1.34999,1.66395,1.23624,1.36929,1.29457,1.71558,1.05891,0.970791,1.63951,1.60123,1.36865,0.821538,1.19503,1.44254,1.4638,1.37547
20536304,1.37786,1.69559,1.22962,1.27031,0.945983,1.39852,1.26826,1.62301,1.44139,2.00616,1.37529,1.40484,0.94036,1.30215,1.92858,1.55221,2.06049,1.58812,2.24026,1.56359,1.63638,1.19625,2.21664,1.8454,2.04075
20536305,0.65325,0.952301,0.942715,0.921109,1.07516,0.771333,1.22036,1.32379,0.950571,0.971964,0.397527,1.21155,1.09822,1.20982,0.793709,0.891688,1.49687,0.718046,1.23572,1.57344,0.79072,0.811625,0.743344,0.848692,1.43944
20536306,0.899405,0.815006,0.915566,0.528577,1.09756,0.993317,0.39709,0.735827,-0.0111903,1.08021,0.268912,0.345708,0.612904,0.455037,0.667887,0.537336,0.9302,0.916097,0.634354,0.821793,1.45898,0.884159,0.626085,0.676937,0.409059
20536307,0.970122,0.723474,0.965515,1.08323,0.872206,1.80379,0.603342,0.72919,0.72763,0.713617,1.27441,0.606669,1.21625,0.934385,0.728176,0.874601,1.00982,1.23909,0.747197,1.08076,1.68207,1.07749,1.25996,1.89226,0.772205
20536308,7.09861,7.00038,7.28845,7.45295,6.50232,6.90486,7.11014,6.51726,8.58255,7.80033,8.04344,7.99735,7.44995,7.35439,7.16243,7.04886,7.98034,7.08673,7.21259,8.00371,6.72004,6.64694,8.50886,8.67391,6.85448
20536309,0.917172,0.85886,1.36135,0.753812,1.09663,0.818722,1.46472,0.839943,1.73301,1.13517,0.438721,0.958629,0.711634,1.14984,0.873498,2.15086,1.18239,1.0533,1.05369,0.93894,0.84962,0.92781,1.28752,1.22354,1.34228
20536310,1.55976,2.08149,1.32241,1.55976,2.16125,1.60037,1.39022,1.05349,2.51365,1.34227,1.63723,1.63054,1.39949,1.51776,0.815512,1.3146,1.98384,1.89966,1.70119,1.92891,1.64436,2.15329,1.34551,1.49158,1.5642
20536311,1.72893,1.06984,0.942715,0.683498,0.696667,0.456674,0.719092,0.538467,0.750983,1.45731,1.32909,0.792134,0.535656,0.704774,0.402456,0.510101,0.62815,0.839926,0.770399,0.645869,0.896646,0.281921,0.520431,1.09349,0.50824
20536312,0.753125,0.78563,0.690483,0.683859,1.28056,1.317,0.888447,1.03312,0.917121,0.965127,0.813639,0.953152,1.56367,0.956027,1.64726,1.31197,0.533682,0.83876,0.994755,1.10711,1.68789,1.35749,1.13463,1.14749,1.03476
20536313,1.05074,0.861974,1.37161,1.21798,0.83489,0.908166,0.989065,1.08105,0.879249,1.24664,0.767093,1.08882,1.31488,0.878103,1.25846,1.37883,1.98652,0.917711,0.745569,1.25976,1.17739,1.01364,1.18041,0.734968,1.04613
20536314,1.83746,1.68839,1.28009,1.39455,1.24251,1.39131,1.61988,1.75386,1.81453,1.51224,1.88369,1.50029,0.933155,1.27486,1.28134,1.81743,1.51991,1.54909,2.1576,1.56768,1.62918,1.44035,2.51227,2.00851,1.61779
20536315,0.354804,0.34997,0.465465,0.200965,0.223401,0.640745,0.331809,0.639885,0.664108,0.323432,0.47004,0.246818,0.648408,0.488655,0.781646,0.517835,0.477152,0.460348,0.4525,1.0441,0.142951,0.14506,0.492703,0.586627,0.467408
20536316,1.34403,1.59995,1.13897,0.751178,1.32479,0.825742,1.89913,1.27241,1.00579,2.03624,1.35225,1.33195,1.59295,1.13758,1.09243,1.31623,1.5827,0.963723,1.51925,1.38498,1.44336,0.941134,1.49633,1.81155,1.3018
20536317,1.72547,1.82323,1.98842,1.18283,2.31516,1.60887,1.62254,1.66859,1.70958,1.29987,1.61349,1.62447,1.71489,1.45092,1.40919,1.06383,1.40607,2.47467,1.2273,2.33361,1.55851,1.6236,1.8525,2.07808,1.90641
20536318,1.93718,2.27767,1.66971,2.25045,2.20038,2.12288,2.15057,2.22685,2.82387,2.04067,2.44563,1.77374,1.59261,2.09992,1.98309,2.33717,1.76725,2.1152,2.01144,1.69183,2.89298,2.63941,2.41556,2.10728,2.58608
20536319,1.2896,1.19844,1.33216,1.64578,1.32909,1.15849,1.1196,1.30251,1.07978,1.19903,1.28464,0.689896,1.3414,0.864302,1.06229,1.0457,1.16028,1.21846,1.28919,1.23431,1.39673,0.943107,1.01922,0.883225,1.10095
20536320,0.684199,0.890974,1.00574,0.840388,0.677876,0.69598,0.984379,0.428004,0.675937,1.2874,1.06644,0.891418,0.77717,1.00943,1.3824,1.02499,0.514079,0.449677,1.53327,1.04436,0.732136,0.528079,1.44182,0.637709,0.760681
20536321,0.849842,1.24828,1.52195,0.743971,1.06081,0.624438,1.17102,0.378467,0.700402,1.29863,1.09091,0.915884,0.751381,1.0088,1.376,1.0435,0.536642,0.464554,1.57545,0.847734,0.743374,0.722886,1.7981,0.631315,0.825912
20536322,1.2896,1.19844,1.33216,1.64578,1.32909,1.15849,1.1196,1.30251,1.07978,1.19903,1.28464,0.689896,1.3414,0.864302,1.06229,1.0457,1.16028,1.21846,1.28919,1.23431,1.39673,0.943107,1.01922,0.883225,1.10095
20536323,0.879714,1.49074,0.855723,1.48439,0.98109,1.23584,1.45751,1.25596,0.866764,0.971964,1.14048,1.23785,1.5309,1.038,1.31429,1.80097,1.14711,1.2085,0.843121,0.750511,0.837606,0.803596,1.6119,1.9074,0.916255
20536324,1.01897,1.44814,0.984811,1.41868,1.02243,1.17793,1.46997,1.40431,1.08179,0.944848,1.10674,1.17581,1.50784,0.811752,1.38378,1.20895,1.0361,0.891479,1.547,0.83158,0.936843,0.778979,1.80543,1.89518,0.890401
20536325,1.4043,1.20265,1.43804,1.27031,1.41393,1.04604,1.19978,0.832868,1.11036,1.10788,1.45735,1.20248,1.23803,0.58845,0.75284,1.44512,1.1529,1.65695,1.09708,1.21502,1.78361,1.62515,1.94481,1.43841,1.26154
20536326,1.11115,0.971134,1.89094,0.879335,0.478487,0.630913,0.531276,0.646328,0.896061,0.717691,0.751428,0.741376,0.520947,1.11721,1.19833,0.531171,0.683899,0.616448,0.830186,1.04263,0.388202,1.00653,0.994777,0.679465,0.460768
